"time","Z","Y"
0,0,0
0.01,0.01970315214435561,0.04269029184000007
0.02,0.03882356582405663,0.08411868931405186
0.03,0.05737797142561802,0.1243221254487761
0.04,0.07538296581930955,0.163337238358148
0.05,0.09285457760028798,0.201199411494137
0.06,0.1098081942881894,0.23794261280653
0.07,0.1262587975563462,0.273599913991049
0.08,0.1422209216601565,0.3082033986411654
0.09,0.1577086883682829,0.3417842392935364
0.1,0.172735833399419,0.3743727557890428
0.11,0.1873156248614393,0.4059982350692891
0.12,0.2014609357644771,0.4366890912989827
0.13,0.2151842373326886,0.4664728509090827
0.14,0.2284976505759576,0.4953762665064546
0.15,0.2414129445140244,0.5234253128702294
0.16,0.2539416027504624,0.5506453337953175
0.17,0.2660947345679454,0.5770608459980391
0.18,0.2778831585938947,0.6026957235039611
0.19,0.2893173468715902,0.6275730743887231
0.2,0.3004074394931278,0.6517152728355557
0.21,0.3111632887455404,0.6751440565971988
0.22,0.3215944405661538,0.6978804860028044
0.23,0.3317101326872438,0.7199449400050157
0.24,0.3415194399877072,0.741357436797952
0.25,0.3510310456018973,0.7621371287956941
0.26,0.3602534295017489,0.7823027184038541
0.27,0.3691948174224402,0.8018723454593822
0.28,0.3778631306819775,0.8208634768813601
0.29,0.3862662354037317,0.8392934558918608
0.3,0.3944115908501358,0.8571787267007055
0.31,0.4023064972758126,0.8745353808188754
0.32,0.409958067016724,0.8913790932265515
0.33,0.417373121396872,0.90772489555811
0.34,0.4245584103999933,0.9235876600204389
0.35,0.4315203896967524,0.938981607922122
0.36,0.4382653256963415,0.9539205412240884
0.37,0.4447993414033727,0.9684179435078865
0.38,0.451128329836074,0.982486789330887
0.39,0.4572580627824873,0.9961397838474717
0.4,0.4631941469536418,1.009389266146794
0.41,0.468942013365164,1.022247185841968
0.42,0.474506876089905,1.034725012246307
0.43,0.4798938463482996,1.046833985720927
0.44,0.4851078986631926,1.058585043146399
0.45,0.4901538881821448,1.069988856086858
0.46,0.4950365118226067,1.081055745149421
0.47,0.4997602269086304,1.09179550065638
0.48,0.5043294311911111,1.102217779420796
0.49,0.508748400704147,1.112331967768698
0.5,0.5130213642416391,1.122147345681631
0.51,0.5171523725313316,1.131672798471191
0.52,0.5211452388872282,1.140916685985846
0.53,0.5250037234670084,1.149887248691053
0.54,0.5287314963505221,1.158592526308563
0.55,0.5323322800236323,1.167040671859144
0.56,0.53580958015185,1.175239358273739
0.57,0.5391667106295104,1.183195833636132
0.58,0.5424068927082598,1.190917139643835
0.59,0.5455332950833311,1.198410199960657
0.6,0.5485490607277745,1.205681879393724
0.61,0.5514571550637384,1.212738649230284
0.62,0.5542604735981342,1.219586824478634
0.63,0.5569618213923854,1.226232518620712
0.64,0.5595639306030186,1.232681682291595
0.65,0.562069510202146,1.238940212898152
0.66,0.5644811680798788,1.245013782873555
0.67,0.5668014260106364,1.250907872698307
0.68,0.5690326754921831,1.256627673555429
0.69,0.5711772906895377,1.262178336293598
0.7,0.5732376365998041,1.267564989472839
0.71,0.5752159777891599,1.27279253814772
0.72,0.5771145001097681,1.277865711762417
0.73,0.5789352262798063,1.282788878058546
0.74,0.580680185496889,1.287566416981956
0.75,0.5823514332469755,1.292202764370568
0.76,0.5839509681049706,1.296702228541719
0.77,0.5854806929187313,1.301068904728744
0.78,0.5869422807083691,1.30530637946796
0.79,0.588337484046643,1.309418412628859
0.8,0.5896680501510306,1.313408750251497
0.81,0.5909357449314137,1.317281177564844
0.82,0.5921422158566839,1.321039216677325
0.83,0.5932889768485591,1.324686093312207
0.84,0.5943776075064993,1.328225175972573
0.85,0.595409621264385,1.331659685320469
0.86,0.5963865055049881,1.334992782612472
0.87,0.5973096965824298,1.338227514649252
0.88,0.5981805244040254,1.341366691641656
0.89,0.599000301312971,1.34441308312664
0.9,0.5997703100839228,1.3473693915272
0.91,0.6004918891481987,1.350238440032766
0.92,0.6011662667226343,1.353022806962743
0.93,0.6017945853984364,1.355724880000688
0.94,0.6023779562458932,1.358346975457141
0.95,0.6029174886675284,1.360891404086221
0.96,0.6034144027761212,1.363360718820497
0.97,0.6038697936128388,1.365757195040964
0.98,0.6042846730027354,1.368082922889494
0.99,0.6046599849873372,1.370339841234838
1,0.6049967347245995,1.372530021794013
1.01,0.60529591495532,1.3746555073277
1.02,0.6055584429362999,1.376718172178457
1.03,0.6057852262357146,1.378719867646986
1.04,0.6059771501109694,1.380662394129428
1.05,0.6061350676776864,1.38254747927152
1.06,0.6062598396501143,1.384376866170209
1.07,0.6063522840287013,1.386152201735362
1.08,0.6064131998524239,1.387875089390614
1.09,0.6064433658509789,1.389547086082897
1.1,0.6064435390885482,1.391169699273278
1.11,0.6064144493769223,1.392744375053192
1.12,0.6063568090990706,1.394272519040013
1.13,0.606271309180125,1.395755487806993
1.14,0.6061586175446041,1.397194585601649
1.15,0.6060193912838918,1.398591091344078
1.16,0.6058543391402917,1.399946397801709
1.17,0.6056640450041096,1.401261618453017
1.18,0.6054491128914379,1.402537910405856
1.19,0.6052101277211933,1.403776387033631
1.2,0.6049477089315038,1.404978237620381
1.21,0.6046624598296882,1.40614461433515
1.22,0.6043549020221659,1.407276485912198
1.23,0.6040255733976633,1.408374856300728
1.24,0.6036749959743698,1.409440692915749
1.25,0.6033037476240023,1.410475087347504
1.26,0.6029123128329451,1.411478920967535
1.27,0.602501179839032,1.412453082579444
1.28,0.6020708286406981,1.413398441551439
1.29,0.6016217351905502,1.41431585740145
1.3,0.6011543865969419,1.415206214159858
1.31,0.6006692152267817,1.416070271410756
